target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_15,3,15,160.4269182947017,0.1277901530265808
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_5,4,5,154.04562987146176,0.0967564582824707
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_6,1,6,192.83026737915662,0.2377397119998932
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_14,2,14,168.95992551533607,0.15978749096393585
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_15,1,15,190.27856482534588,0.22874701023101807
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_2,1,2,184.57138421981006,0.24714064598083496
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_12,1,12,192.44510079423816,0.23404264450073242
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_7,4,7,155.82919901775892,0.09011153876781464
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_11,3,11,156.6362988508024,0.1261349320411682
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_13,5,13,149.63392546234542,0.08464981615543365
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_4,4,4,153.8676165970906,0.09416180104017258
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_4_layer_depth_10,4,10,154.25777059360183,0.09678322076797485
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_1_layer_depth_7,1,7,191.0719790885658,0.2516928017139435
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_10,5,10,149.17240781287518,0.07837767899036407
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_5_layer_depth_12,5,12,150.03391514505796,0.07897349447011948
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_2_layer_depth_13,2,13,169.17570138325715,0.16465571522712708
5,deepcache_layer_experiments_target=5_20250828_225246,cache_interval_3_layer_depth_6,3,6,158.72497371559825,0.13498565554618835
